0117981020-0-0,,2020-06-13T11:59:59
0703141100-0-0,,2020-06-23T11:59:59
0,BD-S005,90.58,0.8
1,BD-S006,97.73,30
2,BD-S012,134.13,1
3,BD-S005,135.13,0.8
4,BD-S012,135.93,1
5,BD-S016,136.93,0.61
6,BD-S018,137.54,0
0703151100-0-0,,2020-06-23T11:59:59
0,BD-S005,89.78,0.8
1,BD-S006,97.73,30
2,BD-S012,131.33,1
3,BD-S005,132.33,0.8
4,BD-S012,133.13,1
5,BD-S016,134.13,0.61
6,BD-S018,134.74,0
0703161100-0-0,,2020-06-20T11:59:59
0,BD-S005,88.98,0.8
1,BD-S007,97.11,1.14
2,BD-S005,98.25,0.8
3,BD-S007,99.05,1.14
4,BD-S016,117.08,2.66
0703171100-0-0,,2020-06-20T11:59:59
0,BD-S005,104.07,0.8
1,BD-S007,139.16,1.14
2,BD-S005,140.3,0.8
3,BD-S007,141.1,1.14
4,BD-S016,152.53,2.66
0703181100-0-0,,2020-06-25T11:59:59
0,BD-S005,103.27,0.8
1,BD-S007,136.08,1.14
2,BD-S005,137.22,0.8
3,BD-S007,138.02,1.14
4,BD-S016,139.16,2.66
9800257701-0-0,,2020-06-10T11:59:59
0,BD-S005,0,0.8
1,BD-S006,0.8,30
2,BD-S012,30.8,1
3,BD-S016,31.8,0.61
4,BD-S025,32.41,0
5,BD-S008,32.41,0
6,BD-S009,32.41,0
7,BD-S008,32.41,0
