0117981020-0-0,,2020-06-13T11:59:59,,,,,,,,,,
3,BD-S010,73.15,0,,,,,,,,,
4,BD-S007,73.15,1.14,,,,,,,,,
5,BD-S020,102.19,2.66,,,,,,,,,
0119331020-0-0,,2020-06-07T11:59:59,,,,,,,,,,
0,BD-S004,1.5,0.5,,,,,,,,,
1,BD-S005,55.2,0.8,,,,,,,,,
2,BD-S007,74.29,1.14,,,,,,,,,
3,BD-S016,75.43,0.61,,,,,,,,,
4,BD-S010,76.04,0,,,,,,,,,
5,BD-S007,76.04,1.14,,,,,,,,,
6,BD-S010,77.18,0,,,,,,,,,
7,BD-S013,80.69,1.77,,,,,,,,,
8,BD-S020,104.85,2.66,,,,,,,,,
0204582740-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,56,1.33,,,,,,,,,
1,BD-S007,82.18,1.14,,,,,,,,,
2,BD-S005,83.32,1.33,,,,,,,,,
3,BD-S012,100.8,1,,,,,,,,,
4,BD-S016,104.78,0.61,,,,,,,,,
5,BD-S018,105.39,0,,,,,,,,,
0205772740-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,57.33,1.33,,,,,,,,,
1,BD-S006,76.8,30,,,,,,,,,
2,BD-S012,106.8,1,,,,,,,,,
3,BD-S016,107.8,0.61,,,,,,,,,
4,BD-S010,108.41,0,,,,,,,,,
5,BD-S008,108.41,1.77,,,,,,,,,
6,BD-S010,110.18,0,,,,,,,,,
7,BD-S008,110.18,1.77,,,,,,,,,
8,BD-S009,111.95,0,,,,,,,,,
9,BD-S008,111.95,1.77,,,,,,,,,
10,BD-S019,113.72,2.66,,,,,,,,,
0205782740-0-0,,2020-06-22T11:59:59,,,,,,,,,,
0,BD-S005,58.66,1.33,,,,,,,,,
1,BD-S006,76.8,30,,,,,,,,,
2,BD-S012,107.8,1,,,,,,,,,
3,BD-S016,108.8,0.61,,,,,,,,,
4,BD-S010,109.41,0,,,,,,,,,
5,BD-S008,113.72,1.77,,,,,,,,,
6,BD-S010,115.49,0,,,,,,,,,
7,BD-S008,115.49,1.77,,,,,,,,,
8,BD-S009,117.26,0,,,,,,,,,
9,BD-S008,117.26,1.77,,,,,,,,,
10,BD-S019,119.03,2.66,,,,,,,,,
0205792740-0-0,,2020-06-24T11:59:59,,,,,,,,,,
0,BD-S005,59.99,1.33,,,,,,,,,
1,BD-S006,76.8,30,,,,,,,,,
