0117981020-0-0,,2020-06-13T11:59:59
3,BD-S011,2020-06-14T12:40:48,2020-06-14T12:40:47.999999
4,BD-S008,2020-06-14T19:51:36,2020-06-14T21:37:47.999999
5,BD-S020,2020-06-14T21:37:48,2020-06-15T00:17:23.999999
0118871020-0-0,,2020-06-24T11:59:59
0,BD-S005,2020-06-11T22:15:36,2020-06-11T23:03:35.999999
1,BD-S007,2020-06-12T07:08:24,2020-06-12T08:16:47.999999
2,BD-S016,2020-06-12T08:48:36,2020-06-12T09:25:11.999999
3,BD-S011,2020-06-12T09:25:12,2020-06-12T09:25:11.999999
4,BD-S008,2020-06-12T09:58:12,2020-06-12T11:44:23.999999
5,BD-S020,2020-06-12T12:36:36,2020-06-12T15:16:11.999999
0118881020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-10T02:24:00,2020-06-10T03:11:59.999999
1,BD-S007,2020-06-10T04:13:12,2020-06-10T05:21:35.999999
2,BD-S016,2020-06-10T07:52:12,2020-06-10T08:28:47.999999
3,BD-S011,2020-06-10T08:28:48,2020-06-10T08:28:47.999999
4,BD-S008,2020-06-10T08:28:48,2020-06-10T10:14:59.999999
5,BD-S020,2020-06-10T10:15:00,2020-06-10T12:54:35.999999
0118911020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-12T00:39:36,2020-06-12T01:27:35.999999
1,BD-S007,2020-06-12T12:13:48,2020-06-12T13:22:11.999999
2,BD-S016,2020-06-12T13:22:12,2020-06-12T13:58:47.999999
3,BD-S011,2020-06-12T13:58:48,2020-06-12T13:58:47.999999
4,BD-S008,2020-06-12T15:16:48,2020-06-12T17:02:59.999999
5,BD-S019,2020-06-12T17:18:36,2020-06-12T17:18:35.999999
6,BD-S021,2020-06-12T17:18:36,2020-06-12T17:18:35.999999
0118921020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-10T00:48:00,2020-06-10T01:35:59.999999
1,BD-S007,2020-06-10T01:56:24,2020-06-10T03:04:47.999999
2,BD-S016,2020-06-10T04:36:00,2020-06-10T05:12:35.999999
3,BD-S011,2020-06-10T05:12:36,2020-06-10T05:12:35.999999
4,BD-S008,2020-06-10T05:12:36,2020-06-10T06:58:47.999999
5,BD-S019,2020-06-10T06:58:48,2020-06-10T06:58:47.999999
6,BD-S021,2020-06-10T06:58:48,2020-06-10T06:58:47.999999
0118931020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-10T09:03:36,2020-06-10T09:51:35.999999
1,BD-S007,2020-06-10T10:13:48,2020-06-10T11:22:11.999999
2,BD-S016,2020-06-10T11:22:12,2020-06-10T11:58:47.999999
3,BD-S011,2020-06-10T11:58:48,2020-06-10T11:58:47.999999
4,BD-S008,2020-06-10T13:47:24,2020-06-10T15:33:35.999999
5,BD-S020,2020-06-10T20:53:24,2020-06-10T23:32:59.999999
0118941020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-14T14:15:36,2020-06-14T15:03:35.999999
1,BD-S007,2020-06-16T11:28:48,2020-06-16T12:37:11.999999
2,BD-S016,2020-06-16T18:24:00,2020-06-16T19:00:35.999999
3,BD-S011,2020-06-16T19:00:36,2020-06-16T19:00:35.999999
4,BD-S008,2020-06-16T21:00:36,2020-06-16T22:46:47.999999
5,BD-S020,2020-06-16T23:59:24,2020-06-17T02:38:59.999999
0118951020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-12T01:27:36,2020-06-12T02:15:35.999999
1,BD-S007,2020-06-12T13:22:12,2020-06-12T14:30:35.999999
2,BD-S016,2020-06-12T14:30:36,2020-06-12T15:07:11.999999
3,BD-S011,2020-06-12T15:07:12,2020-06-12T15:07:11.999999
4,BD-S008,2020-06-12T17:03:00,2020-06-12T18:49:11.999999
5,BD-S020,2020-06-12T18:49:12,2020-06-12T21:28:47.999999
0118961020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-10T06:55:48,2020-06-10T07:43:47.999999
1,BD-S007,2020-06-10T07:43:48,2020-06-10T08:52:11.999999
2,BD-S016,2020-06-10T09:42:00,2020-06-10T10:18:35.999999
3,BD-S011,2020-06-10T10:18:36,2020-06-10T10:18:35.999999
4,BD-S008,2020-06-10T12:01:12,2020-06-10T13:47:23.999999
5,BD-S020,2020-06-10T18:13:48,2020-06-10T20:53:23.999999
0118971020-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-12T03:43:12,2020-06-12T04:31:11.999999
1,BD-S007,2020-06-12T14:30:36,2020-06-12T15:38:59.999999
2,BD-S016,2020-06-12T15:39:00,2020-06-12T16:15:35.999999
3,BD-S011,2020-06-12T16:15:36,2020-06-12T16:15:35.999999
4,BD-S008,2020-06-12T18:49:12,2020-06-12T20:35:23.999999
5,BD-S020,2020-06-13T00:55:48,2020-06-13T03:35:23.999999
0118981020-C-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-11T23:51:36,2020-06-12T00:39:35.999999
1,BD-S007,2020-06-12T11:05:24,2020-06-12T12:13:47.999999
2,BD-S016,2020-06-12T12:13:48,2020-06-12T12:50:23.999999
3,BD-S011,2020-06-12T12:50:24,2020-06-12T12:50:23.999999
4,BD-S008,2020-06-12T13:30:36,2020-06-12T15:16:47.999999
5,BD-S019,2020-06-12T17:18:36,2020-06-12T17:18:35.999999
6,BD-S021,2020-06-12T17:18:36,2020-06-12T17:18:35.999999
0118991020-A-0-0,,2020-06-22T11:59:59
0,BD-S005,2020-06-12T07:27:00,2020-06-12T08:14:59.999999
1,BD-S007,2020-06-12T15:39:00,2020-06-12T16:47:23.999999
2,BD-S016,2020-06-12T16:47:24,2020-06-12T17:23:59.999999
3,BD-S011,2020-06-12T17:24:00,2020-06-12T17:23:59.999999
4,BD-S008,2020-06-12T22:21:36,2020-06-13T00:07:47.999999
5,BD-S019,2020-06-13T02:37:48,2020-06-13T02:37:47.999999
6,BD-S021,2020-06-13T02:37:48,2020-06-13T02:37:47.999999
0119001020-0-0,,2020-06-17T11:59:59
0,BD-S005,2020-06-13T09:38:24,2020-06-13T10:26:23.999999
1,BD-S007,2020-06-13T19:58:48,2020-06-13T21:07:11.999999
2,BD-S016,2020-06-14T02:18:00,2020-06-14T02:54:35.999999
3,BD-S011,2020-06-14T02:54:36,2020-06-14T02:54:35.999999
4,BD-S008,2020-06-14T18:05:24,2020-06-14T19:51:35.999999
5,BD-S019,2020-06-14T19:51:36,2020-06-14T22:31:11.999999
0119011020-0-0,,2020-06-25T11:59:59
0,BD-S005,2020-06-13T23:36:00,2020-06-14T00:23:59.999999
