0117981020-0-0,,2020-06-13T11:59:59
3,BD-S025,113.26,0
4,BD-S012,113.26,1
5,BD-S016,123.54,0.61
6,BD-S018,124.15,0
0119201020-0-0,,2020-06-20T11:59:59
0,BD-S005,12.53,0.8
1,BD-S006,13.33,30
2,BD-S012,43.33,1
3,BD-S025,44.33,0
4,BD-S012,44.33,1
5,BD-S016,45.33,2.66
0119211020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,32.7,0.8
1,BD-S006,34.53,30
2,BD-S012,69.93,1
3,BD-S025,70.93,0
4,BD-S012,70.93,1
5,BD-S016,71.93,2.66
0119221020-D-0-0,,2020-06-23T11:59:59
0,BD-S005,43.23,0.8
1,BD-S006,51.06,30
2,BD-S012,81.06,1
3,BD-S025,82.06,0
4,BD-S012,82.06,1
5,BD-S016,83.74,2.66
0119231020-D-0-0,,2020-06-20T11:59:59
0119251020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,14.93,0.8
1,BD-S007,15.73,1.14
2,BD-S016,16.87,0.61
3,BD-S011,17.48,0
4,BD-S013,19.64,1.77
5,BD-S020,22.3,2.66
0119261020-0-0,,2020-06-24T11:59:59
0,BD-S005,0,0.8
1,BD-S007,0.8,1.14
2,BD-S016,1.94,0.61
3,BD-S011,2.55,0
4,BD-S008,2.55,1.77
5,BD-S011,4.32,0
6,BD-S013,4.32,1.77
7,BD-S020,6.09,2.66
0119271020-0-0,,2020-06-21T11:59:59
0,BD-S005,33.5,0.8
1,BD-S008,81.36,1.77
2,BD-S016,83.13,0.61
3,BD-S011,83.74,0
4,BD-S008,83.74,1.77
5,BD-S019,85.51,2.66
0119281020-0-0,,2020-06-24T11:59:59
0,BD-S005,17.33,0.8
1,BD-S007,19.15,1.14
2,BD-S016,20.86,0.61
3,BD-S011,21.47,0
4,BD-S008,23.18,1.77
5,BD-S019,41.71,2.66
0119291020-0-0,,2020-06-26T11:59:59
0,BD-S005,16.53,0.8
1,BD-S007,18.01,1.14
2,BD-S016,20.25,0.61
3,BD-S011,20.86,0
4,BD-S008,21.41,1.77
5,BD-S019,34.42,2.66
0119301020-0-0,,2020-06-15T11:59:59
0,BD-S005,52.83,0.8
1,BD-S007,66.16,1.14
2,BD-S016,67.74,0.61
3,BD-S011,68.35,0
4,BD-S007,68.35,1.14
5,BD-S020,89.34,2.66
0119311020-0-0,,2020-06-20T11:59:59
0,BD-S005,56.03,0.8
1,BD-S007,72.91,1.14
2,BD-S016,74.59,0.61
3,BD-S010,75.2,0
4,BD-S007,75.2,1.14
5,BD-S020,94.66,2.66
0119321020-0-0,,2020-06-16T11:59:59
0,BD-S005,101.63,0.8
1,BD-S007,103.11,1.14
2,BD-S016,138.92,0.61
3,BD-S010,139.53,0
4,BD-S007,157.9,1.14
5,BD-S020,160.62,2.66
0119331020-0-0,,2020-06-07T11:59:59
0,BD-S004,0,0.5
1,BD-S005,42.43,0.8
2,BD-S007,43.91,1.14
3,BD-S016,50.65,0.61
4,BD-S010,51.26,0
5,BD-S007,51.26,1.14
6,BD-S010,52.4,0
7,BD-S013,52.4,1.77
8,BD-S020,54.17,2.66
0204582740-0-0,,2020-06-15T11:59:59
0,BD-S005,104.03,1.33
1,BD-S007,125.21,1.14
2,BD-S005,126.35,1.33
3,BD-S012,148.23,1
4,BD-S016,150.11,0.61
5,BD-S018,150.72,0
0205772740-0-0,,2020-06-22T11:59:59
0,BD-S005,19.73,1.33
1,BD-S006,21.06,30
2,BD-S012,51.06,1
3,BD-S016,52.06,0.61
4,BD-S010,52.67,0
5,BD-S008,52.67,1.77
6,BD-S010,54.44,0
7,BD-S008,54.44,1.77
8,BD-S009,56.21,0
9,BD-S008,56.21,1.77
10,BD-S019,57.98,2.66
0205782740-0-0,,2020-06-22T11:59:59
0,BD-S005,0.8,1.33
1,BD-S006,2.13,30
2,BD-S012,32.13,1
3,BD-S016,33.13,0.61
4,BD-S010,33.74,0
5,BD-S008,33.74,1.77
6,BD-S010,35.51,0
7,BD-S008,35.51,1.77
8,BD-S009,37.28,0
9,BD-S008,37.28,1.77
10,BD-S019,39.05,2.66
0205792740-0-0,,2020-06-24T11:59:59
0,BD-S005,91.78,1.33
1,BD-S006,100.26,30
2,BD-S012,136.31,1
3,BD-S016,137.31,0.61
4,BD-S025,137.92,0
5,BD-S007,138.34,1.14
6,BD-S010,139.48,0
7,BD-S008,141.37,1.77
8,BD-S009,143.14,0
9,BD-S013,143.14,1.77
10,BD-S015,144.91,0
11,BD-S019,144.91,2.66
0205802600-0-1,,2020-06-30T11:59:59
0,BD-S005,97.9,1.33
1,BD-S006,111.06,30
2,BD-S012,141.31,1
3,BD-S016,144.58,0.61
4,BD-S010,145.19,0
5,BD-S008,146.68,1.77
6,BD-S010,148.45,0
7,BD-S013,148.45,1.77
8,BD-S020,150.24,2.66
0205802600-0-2,,2020-06-25T11:59:59
0206192680-0-0,,2020-06-22T11:59:59
0,BD-S005,95.77,1.33
1,BD-S006,103.33,30
2,BD-S012,140.31,1
3,BD-S016,141.31,0.61
4,BD-S025,141.92,0
5,BD-S007,151.76,1.14
6,BD-S010,152.9,0
7,BD-S013,155.3,1.77
8,BD-S020,157.96,2.66
0206202680-0-0,,2020-06-22T11:59:59
0,BD-S005,94.44,1.33
1,BD-S006,103.33,30
2,BD-S012,139.31,1
3,BD-S016,140.31,0.61
